作业流水号,号牌号码,车架号,保险单开始时间,保险单结束时间,号牌种类,检测站
2018071000052,粤AB129G,LGBH12E0XAY119934,2017/8/28 0:00,2018/8/27 0:00,小型汽车,广东大路机动车检测有限公司
2018071000053,粤A972EH,LVBV3PBB4AJ006953,2018/7/7 0:00,2019/7/6 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071000054,粤BK71J0,LZWACAGA5E6062222,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市冠新机动车安全检测有限公司
2018071000055,粤ABZ913,LJ18R4CL5H3210878,2018/7/9 0:00,2019/7/8 0:00,大型汽车,广州市黄埔姬堂机动车检测站
2018071000056,粤AE9502,LGZ1SD0C590001233,2018/6/30 0:00,2019/6/29 0:00,大型汽车,广州番骏机动车检测有限公司
2018071000057,粤A41B38,LSYYSCDA72K005267,2017/7/20 0:00,2018/7/19 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000058,粤FWX109,LJDJAA145C0094713,2017/8/2 0:00,2018/8/1 0:00,小型汽车,广州从速机动车服务有限公司
2018071000059,粤AUX082,LJNTGU2G77N000045,2018/1/16 0:00,2019/1/15 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000060,粤A6TV70,LSYAAABF6BK011987,2018/7/6 0:00,2019/7/5 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000061,粤AK1538,LZYTGTB26C1032916,2017/9/30 0:00,2018/9/29 0:00,大型汽车,广州番骏机动车检测有限公司
2018071000062,粤BX82M8,LSGTB54M4AY162836,2017/7/28 0:00,2018/7/27 0:00,小型汽车,广州市万众汽车检测有限公司
2018071000063,粤AX4T68,LZWDAAGA4D7139710,2017/8/26 0:00,2018/8/25 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000064,粤AS9M28,LVGBF53K4CG031830,2017/7/26 0:00,2018/7/25 0:00,小型汽车,广州市雄逸机动车检测有限公司
2018071000065,粤A9716P,LGBH12E07BY198917,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000066,粤A299JL,LJNMDV1L0AN029119,2017/7/23 0:00,2018/7/22 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000067,粤A9Q9R3,LGBG12E067Y068713,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州从速机动车服务有限公司
2018071000068,粤AR9Y89,LZWACAGA6C7097410,2017/7/30 0:00,2018/7/29 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071000069,粤AM3827,LKLR1CS78DC619729,2018/7/6 0:00,2019/7/5 0:00,大型汽车,广州市番禺区石基机动车检测站
2018071000070,粤AY7K54,LJDCAA239C0050874,2017/9/9 0:00,2018/9/8 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000071,粤A7033L,LBEMDAFC8CZ002850,2017/9/22 0:00,2018/9/21 0:00,小型汽车,增城市新塘机动车检测站
2018071000072,粤BS29S2,LSGJA52U5BS196057,2017/7/28 0:00,2018/7/27 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000073,粤AJ619D,LGBG12E03AY122797,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071000074,粤A706B3,LVGBE42K27G126293,2017/8/7 0:00,2018/8/6 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000075,粤AF7A20,LVHRE4899B5031247,2017/9/8 0:00,2018/9/7 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071000076,粤A5X640,LDNH4LNE930000745,2018/7/3 0:00,2019/7/2 0:00,小型汽车,广东大路机动车检测有限公司
2018071000077,粤AW097Z,LH16CHH08AH086553,2017/7/22 0:00,2018/7/21 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071000078,粤AM0895,LKLR1CS75DC619719,2018/7/6 0:00,2019/7/5 0:00,大型汽车,广州市番禺区石基机动车检测站
2018071000079,粤AR1W35,LSYFJD2DXCH180320,2017/8/31 0:00,2018/8/30 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000080,粤AC2Y23,LMGBH1G53B1005466,2017/7/30 0:00,2018/7/29 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000081,粤PWE662,WBA2D3108H5C53045,2017/8/29 0:00,2018/8/28 0:00,小型汽车,广州从速机动车服务有限公司
2018071000082,粤R36B53,LGBG12E067Y069246,2017/9/30 0:00,2018/9/29 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071000083,粤A2YW35,LFV4A24F1C3008385,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000084,粤AHL068943,LWLNKA6V1HL068943,2018/6/6 0:00,2019/6/5 0:00,小型汽车,广州市升平机动车检测有限公司
2018071000085,粤BH416H,LVSHBFAF69F078802,2017/7/24 0:00,2018/7/23 0:00,小型汽车,广州番骏机动车检测有限公司
2018071000086,粤A0ML37,LBEEFAGA3FX357873,2017/8/19 0:00,2018/8/18 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000087,粤H50H02,LVGEN56A1GG086194,2018/6/26 0:00,2019/6/25 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000088,粤A618ZU,LFMAP22C890120853,2017/9/20 0:00,2018/9/19 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000089,粤A9A964,5.66812E+11,2017/10/22 0:00,2018/10/21 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071000090,粤AP883C,LVGBE40K06G004162,2018/7/7 0:00,2019/7/6 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000091,粤EZC229,LGB612E00CS005230,2018/2/20 0:00,2019/2/19 0:00,小型汽车,广州从速机动车服务有限公司
2018071000092,粤AGJ902,JN1CAUA33Z0202140,2017/9/27 0:00,2018/9/26 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000093,粤W86132,LDC953L36C1104762,2017/8/1 0:00,2018/7/31 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000094,粤AE8707,LFWSRXPJ5A1F20509,2017/12/15 0:00,2018/12/14 0:00,大型汽车,广州市黄埔姬堂机动车检测站
2018071000095,粤A0H6D0,LBEHDALA9HZ344318,2017/9/18 0:00,2018/9/17 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000096,粤A3JV08,LBEXDAFB57X483615,2018/7/6 0:00,2019/7/5 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000097,粤AX7R14,LSYBCAAA29K024752,2017/8/14 0:00,2018/8/13 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000098,粤AXZ828,LFMAPE2C780057163,2017/8/6 0:00,2018/8/5 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000099,粤AE8J31,LJNMDV1E1BN053660,2017/9/9 0:00,2018/9/8 0:00,小型汽车,广州市京晟机动车检测有限公司
2018071000100,粤A1H9Y8,LZWDBAGA1HE609271,2018/6/23 0:00,2019/6/22 0:00,小型汽车,广州隆新汽车检测服务有限公司
2018071000101,粤A199TM,WBAKB4105BC922500,2017/8/2 0:00,2018/8/1 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000102,粤A91939,LGZ4KY0F3C0000457,,,大型汽车,广州市城市客运交通技术咨询服务中心
2018071000103,粤AFQ438,WBAGN81080DR22972,2017/9/25 0:00,2018/9/24 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000104,粤AS9G03,LB37624S9CL029090,2017/9/3 0:00,2018/9/2 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071000105,粤RB3122,LKJHB1AB6BF004815,2017/8/10 0:00,2018/8/9 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000106,粤AY1X04,LJDCAA239B0046838,2017/9/22 0:00,2018/9/21 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071000107,粤AR826B,LGWCBC1919B050369,2017/8/25 0:00,2018/8/24 0:00,小型汽车,增城市新塘机动车检测站
2018071000108,粤A640JS,LGBH1AE08AY133146,2017/8/3 0:00,2018/8/2 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000109,粤A0187T,LGB2AAE30BZ016088,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071000110,粤AH27A6,LVFAD1AD9AG150179,2017/7/21 0:00,2018/7/20 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000111,粤A9BW48,LBVCU7103CSE81301,2018/6/13 0:00,2019/6/12 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000112,粤A7928,LFV2A11G3A3517101,2018/2/24 0:00,2019/2/23 0:00,教练汽车,广州市城市客运交通技术咨询服务中心
2018071000113,粤A9BA63,LFMBE85B360014838,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071000114,粤AA172,LSEJP3940A0016575,2018/1/1 0:00,2018/12/31 0:00,挂车,广州市黄埔姬堂机动车检测站
2018071000115,粤A392JU,LH17CHJF32H008783,2018/1/27 0:00,2019/1/26 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000116,粤A0YS10,5.66812E+11,2017/10/12 0:00,2018/10/11 0:00,小型汽车,广州从速机动车服务有限公司
2018071000117,粤AC94K7,LVZMN2592GA515564,2018/6/3 0:00,2019/6/2 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071000118,粤A2ZZ79,LZWACAGA481090658,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071000119,粤FYH609,LYMTGACC4DA525683,2018/7/9 0:00,2019/7/8 0:00,普通摩托车,广州从化小海摩托车检测站有限公司
2018071000120,粤AS8578,LZGJLNT46FX019443,2018/7/1 0:00,2019/6/30 0:00,大型汽车,广州市顺通机动车检测有限公司
2018071000121,粤AA728E,LTVBR22E650684224,2018/5/5 0:00,2019/5/4 0:00,小型汽车,广州市番禺区番安机动车检测站
2018071000122,粤A7EH25,LSYKKAAF6EK010426,2017/9/29 0:00,2018/9/28 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000123,粤A286LR,LZWACAGA697086626,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071000124,粤A91939,LGZ4KY0F3C0000457,2017/7/19 0:00,2018/7/18 0:00,大型汽车,广州市城市客运交通技术咨询服务中心
2018071000125,粤AB697J,KMHSH81B1BU772921,2017/7/14 0:00,2018/7/13 0:00,小型汽车,广州华工机动车检测技术有限公司
2018071000126,粤ABP947,LZ5N2CD30EB002642,2017/8/14 0:00,2018/8/13 0:00,大型汽车,广州市万众汽车检测有限公司
2018071000127,粤A7RD40,LBEEFAGA5FX356577,2017/8/31 0:00,2018/8/30 0:00,小型汽车,广州市园林水荫机动车检测站
2018071000128,粤K77458,LZWACAGA797112568,2017/7/26 0:00,2018/7/25 0:00,小型汽车,广州市桥北机动车辆检测有限公司
2018071000129,粤AH1415,LGC489D36A6044185,2018/2/27 0:00,2019/2/26 0:00,大型汽车,增城市新塘机动车检测站
2018071000130,粤AE0U96,LSGSA52S7CY056755,2017/8/31 0:00,2018/8/30 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071000131,粤A115VC,LGBG22E0XBY010898,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000132,粤Y651G6,LZWACAGA8FC042498,,,小型汽车,广州市万众汽车检测有限公司
2018071000133,粤AJL519791,LGGR3BG50JL519791,2018/6/6 0:00,2019/6/5 0:00,大型汽车,广州市升平机动车检测有限公司
2018071000134,粤A738AF,LZWACAGA397112423,2017/9/10 0:00,2018/9/9 0:00,小型汽车,广州市万众汽车检测有限公司
2018071000135,粤A0727Q,WMWML31099TN36396,2017/12/10 0:00,2018/12/9 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071000136,粤A827LM,LWLNKRJB94L027918,2018/3/1 0:00,2019/2/28 0:00,小型汽车,广州市龙口汽车检测有限公司
2018071000137,粤A914D3,LC6TCGC9490017156,2017/9/6 0:00,2018/9/5 0:00,普通摩托车,广州从化小海摩托车检测站有限公司
2018071000138,粤AH1470,LGC489D38A6044186,2018/2/27 0:00,2019/2/26 0:00,大型汽车,增城市新塘机动车检测站
2018071000139,粤AY2X57,LJDCAA238C0050929,2017/9/22 0:00,2018/9/21 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071000140,粤AUL456,LBEPCCAK05X198534,2017/9/7 0:00,2018/9/6 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000141,粤ABH777,YV2XG10D3HA808101,2018/7/6 0:00,2019/7/5 0:00,大型汽车,广州市南英机动车辆检测有限公司
2018071000142,粤E186G3,LZWACAGA8A7144045,2018/5/26 0:00,2019/5/25 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000143,粤AR205P,LSGUD82C09E010284,2017/8/27 0:00,2018/8/26 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000144,粤AJ343B,JM7CW09FXC0106047,2017/8/23 0:00,2018/8/22 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000145,粤AAH545,LGAX5D658G8020788,2017/8/10 0:00,2018/8/9 0:00,大型汽车,广州市顺通机动车检测有限公司
2018071000146,粤AAF145,LGAX4C355G3013280,2017/8/8 0:00,2018/8/7 0:00,大型汽车,广州市黄埔姬堂机动车检测站
2018071000147,粤AT8R51,LFMAPE2C8A0202930,2018/1/4 0:00,2019/1/3 0:00,小型汽车,广州市桥北机动车辆检测有限公司
2018071000148,粤A737A7,LVGBE42KX7G115185,2018/7/9 0:00,2019/7/8 0:00,小型汽车,广州市天河安利汽车检测中心
2018071000149,粤AP7M64,LZWDAAGA3C7125344,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000150,粤AS3U78,LSGJU52P94S276224,2017/9/18 0:00,2018/9/17 0:00,小型汽车,广州从化河东南汽车检测站有限公司
2018071000151,粤AY5Q14,LJDCAA237B0046904,2017/9/22 0:00,2018/9/21 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071000152,粤AJ1022912,LGAX1AG35J1022912,2018/7/10 0:00,2019/7/9 0:00,大型汽车,广东粤旅汽车检测有限公司检测站
2018071000153,粤AP7S82,LVGES46A4AG015954,2017/7/28 0:00,2018/7/27 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000154,粤A320B2,LZWACAGA772067173,2017/7/28 0:00,2018/7/27 0:00,小型汽车,广州市城市客运交通技术咨询服务中心
2018071000155,粤A7762Y,LGBF1DE04CR107505,2017/7/27 0:00,2018/7/26 0:00,小型汽车,广东大路机动车检测有限公司
2018071000156,粤A5C272,LH17CHJF53H027188,2017/7/21 0:00,2018/7/20 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071000157,粤AE207K,LGBF1DE01AR260257,2018/6/19 0:00,2019/6/18 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000158,粤AVS836,LFMBE22D880136939,2017/8/6 0:00,2018/8/5 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000159,粤AWY407,LFMAM42A570013677,2017/8/17 0:00,2018/8/16 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000160,粤AZ4801,LLCJP1703EE600669,2018/1/23 0:00,2019/1/22 0:00,普通摩托车,广州从化小海摩托车检测站有限公司
2018071000161,粤AK9606,LZYTDGCD3C1032873,2017/9/18 0:00,2018/9/17 0:00,大型汽车,广州番骏机动车检测有限公司
2018071000162,粤AAJ580,LZGJLGR18GX021933,2017/7/20 0:00,2018/7/19 0:00,大型汽车,广州市顺通机动车检测有限公司
2018071000163,粤AK196X,LFMAP90A5A0064157,2018/1/1 0:00,2018/12/31 0:00,小型汽车,广州市安运机动车检测站有限公司
2018071000164,粤A6732F,LHGGE8876C2012085,2017/8/2 0:00,2018/8/1 0:00,小型汽车,广州市南英机动车辆检测有限公司
2018071000165,粤AR7Y63,LFV3B28R0C3034408,2017/8/3 0:00,2018/8/2 0:00,小型汽车,广州市外运机动车检测有限公司
2018071000166,粤A0H3W1,TCR10/1332279,2017/12/6 0:00,2018/12/5 0:00,小型汽车,广州从速机动车服务有限公司
2018071000167,粤ABG363,LTVBA423X30020037,2017/10/14 0:00,2018/10/13 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000168,粤A287A6,LEFYECG2X7HN18613,2017/7/18 0:00,2018/7/17 0:00,小型汽车,广州市桥北机动车辆检测有限公司
2018071000169,粤Y651G6,LZWACAGA8FC042498,,,小型汽车,广州市万众汽车检测有限公司
2018071000170,粤AJ181,LJRC12370A1009106,2018/1/1 0:00,2018/12/31 0:00,挂车,广州市黄埔姬堂机动车检测站
2018071000171,粤LBY227,LHGGD384952035164,2018/4/14 0:00,2019/4/13 0:00,小型汽车,广州市集威汽车检测有限公司
2018071000172,粤AQ0Q17,LJDCAA236C0050444,2017/8/8 0:00,2018/8/7 0:00,小型汽车,广州交通集团汽车检测服务有限公司
2018071000173,冀ECR008,LFV2A23C8B3007487,2018/5/12 0:00,2019/5/11 0:00,小型汽车,广州市普安机动车检测有限公司
2018071000174,粤AZ2753,LZYTEGC6681009125,2017/9/26 0:00,2018/9/25 0:00,大型汽车,广州从速机动车服务有限公司
2018071000175,粤AGH062,LSYBA6HH53K080228,2017/8/19 0:00,2018/8/18 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071000176,粤AEF86,LA99HRA31H0YTS108,,,挂车,广州市南英机动车辆检测有限公司
2018071000177,粤A580KW,LBERCADBXAX010735,2017/9/22 0:00,2018/9/21 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000178,粤AA156V,LGWEFCA59AB009468,2017/12/13 0:00,2018/12/12 0:00,小型汽车,广州市泽贤汽车检测有限公司
2018071000179,粤AF5172,LVBS6PEB4AL023245,2017/7/25 0:00,2018/7/24 0:00,大型汽车,广州市黄埔姬堂机动车检测站
2018071000180,粤A0JN81,LFMAP22CX90110633,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州市交海汽车检测有限公司
2018071000181,粤AYA889,LHGGD855982506499,2017/8/27 0:00,2018/8/26 0:00,小型汽车,广州市番禺区石基机动车检测站
2018071000182,粤AG289Q,LVSHBFAF09F077340,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州番骏机动车检测有限公司
2018071000183,粤AX663B,LVHRE487695017394,2018/6/17 0:00,2019/6/16 0:00,小型汽车,广州市普安机动车检测有限公司
2018071000184,粤AL3755,LA86G0LK3CA201146,2017/12/18 0:00,2018/12/17 0:00,大型汽车,广州市冠新机动车安全检测有限公司
2018071000185,粤A530ZV,WBAFE4106AL253712,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州市万众汽车检测有限公司
2018071000186,粤ACM353,LSGJR52UX5S198111,2017/11/1 0:00,2018/10/31 0:00,小型汽车,广州市必高飘峰汽车检测站
2018071000187,粤A1AQ97,LFMARE2CXC0373305,2017/8/16 0:00,2018/8/15 0:00,小型汽车,广州芳村机动车检测服务有限公司
2018071000188,粤AZ5189,LDAPAJ0B3DG708313,2018/7/10 0:00,2019/7/9 0:00,普通摩托车,广州从化小海摩托车检测站有限公司
2018071000189,粤AXB108,LGG7E2D15GZ406007,2017/7/19 0:00,2018/7/18 0:00,小型汽车,广州市南英机动车辆检测有限公司
2018071000190,粤SF084X,LHGGM2635C2041786,2017/10/13 0:00,2018/10/12 0:00,小型汽车,广州市途进汽车检测有限公司
2018071000191,粤AQ3Q85,LBEHDAFB4AY342475,2018/7/10 0:00,2019/7/9 0:00,小型汽车,广州从速机动车服务有限公司
2018071000192,粤A3617L,LVSHCAAE0AF567658,2017/8/25 0:00,2018/8/24 0:00,小型汽车,广州华工机动车检测技术有限公司
2018071000193,粤AE9553,LGZ1SD0C290001254,2018/6/30 0:00,2019/6/29 0:00,大型汽车,广州番骏机动车检测有限公司
2018071000194,粤A771A7,LGBG22E097Y076544,2018/6/24 0:00,2019/6/23 0:00,小型汽车,广州大昌行喜龙机动车检测有限公司
2018071000195,粤A0SJ59,LZWCAAGA0HE444215,2017/8/21 0:00,2018/8/20 0:00,小型汽车,广州骏朋汽车检测服务有限公司
2018071000196,桂CF0186,LS4AAB3D7CF059531,2018/6/27 0:00,2019/6/26 0:00,小型汽车,广州市顺通机动车检测有限公司
2018071000197,粤AW491,LSEJP3946F0023764,2018/1/1 0:00,2018/12/31 0:00,挂车,广州市顺通机动车检测有限公司
2018071000198,粤AS2L54,LGXC16DF6C0025603,2017/7/24 0:00,2018/7/23 0:00,小型汽车,广州市龙口汽车检测有限公司
